Type, a, Result, Error, Intervals
1, 90, 0.000000, 0.000000, 1
1, 91, -1.000000, 0.026456, 128
1, 92, 0.000000, 0.000000, 2
1, 93, 1.000000, 0.041533, 128
1, 94, 0.000000, 0.000000, 1
1, 95, -1.000000, 0.064461, 128
1, 96, 0.000000, 0.000000, 16
1, 97, 1.000000, 0.098957, 128
1, 98, 0.000000, 0.000000, 1
1, 99, -1.000000, 0.098483, 153
1, 100, -0.000000, 0.000000, 2
