-1.400000 55.450752
-1.300000 34.416258
-1.200000 21.083904
-1.100000 12.889586
-1.000000 8.000000
-0.900000 5.145484
-0.800000 3.480576
-0.700000 2.469771
-0.600000 1.795968
-0.500000 1.289062
-0.400000 0.872192
-0.300000 0.523093
-0.200000 0.248064
-0.100000 0.066000
0.000000 0.000000
0.100000 0.074000
0.200000 0.311936
0.300000 0.736907
0.400000 1.367808
0.500000 2.210938
0.600000 3.244032
0.700000 4.390229
0.800000 5.479424
0.900000 6.194516
1.000000 6.000000
1.100000 4.050414
1.200000 -0.923904
1.300000 -10.756258
1.400000 -28.010752
1.500000 -56.179687
1.600000 -99.913728
