Type,Intervals,ClockTime
1,21,1803.000000
2,21,1990.000000
0,22,404.000000
1,22,2108.000000
2,22,2384.000000
0,23,443.000000
1,23,2253.000000
2,23,2530.000000
0,24,449.000000
1,24,2520.000000
2,24,2830.000000
0,25,476.000000
1,25,3153.000000
2,25,4240.000000
0,26,493.000000
1,26,3159.000000
2,26,3411.000000
0,27,507.000000
1,27,3439.000000
2,27,3719.000000
0,28,516.000000
1,28,3853.000000
2,28,4135.000000
0,29,547.000000
1,29,4233.000000
2,29,4538.000000
0,30,557.000000
1,30,4570.000000
2,30,4946.000000
0,31,586.000000
1,31,5899.000000
2,31,5796.000000
0,32,922.000000
1,32,5779.000000
2,32,6014.000000
0,33,707.000000
1,33,6034.000000
2,33,6646.000000
0,34,664.000000
1,34,6479.000000
2,34,7060.000000
0,35,669.000000
1,35,6960.000000
2,35,7600.000000
0,36,692.000000
1,36,7576.000000
2,36,8170.000000
0,37,789.000000
1,37,8178.000000
2,37,8807.000000
0,38,759.000000
1,38,8819.000000
2,38,11300.000000
0,39,749.000000
1,39,9535.000000
2,39,9950.000000
0,40,759.000000
1,40,10208.000000
2,40,10751.000000
0,41,781.000000
1,41,10928.000000
2,41,11393.000000
0,42,800.000000
1,42,11711.000000
2,42,12131.000000
0,43,822.000000
1,43,13411.000000
2,43,14239.000000
0,44,859.000000
1,44,13417.000000
2,44,13868.000000
0,45,889.000000
1,45,14250.000000
2,45,14527.000000
0,46,885.000000
1,46,15215.000000
2,46,16983.000000
0,47,931.000000
1,47,16227.000000
2,47,16615.000000
0,48,1100.000000
1,48,17212.000000
2,48,17559.000000
0,49,965.000000
1,49,18213.000000
2,49,19530.000000
0,50,974.000000
1,50,19332.000000
2,50,19767.000000
0,51,986.000000
1,51,20447.000000
2,51,21070.000000
0,52,1004.000000
1,52,22120.000000
2,52,21999.000000
0,53,1030.000000
1,53,22806.000000
2,53,23009.000000
0,54,1038.000000
1,54,24748.000000
2,54,24541.000000
0,55,1083.000000
1,55,25491.000000
2,55,25604.000000
0,56,1090.000000
1,56,27746.000000
2,56,27058.000000
0,57,1103.000000
1,57,28215.000000
2,57,28282.000000
0,58,1114.000000
1,58,30738.000000
2,58,29812.000000
0,59,1151.000000
1,59,31235.000000
2,59,32785.000000
0,60,1208.000000
1,60,32821.000000
2,60,32920.000000
0,61,1221.000000
1,61,35476.000000
2,61,34700.000000
0,62,1244.000000
1,62,36215.000000
2,62,37412.000000
0,63,1769.000000
1,63,38671.000000
2,63,39836.000000
0,64,1840.000000
1,64,40769.000000
2,64,39459.000000
0,65,1299.000000
1,65,42032.000000
2,65,41724.000000
0,66,1372.000000
1,66,43563.000000
2,66,43862.000000
0,67,1387.000000
1,67,45617.000000
2,67,46309.000000
0,68,1441.000000
1,68,47548.000000
2,68,48270.000000
0,69,1996.000000
1,69,49858.000000
2,69,49213.000000
0,70,1439.000000
1,70,52156.000000
2,70,51452.000000
0,71,1643.000000
1,71,54474.000000
2,71,53505.000000
0,72,1507.000000
1,72,56619.000000
2,72,56431.000000
0,73,1549.000000
1,73,58625.000000
2,73,58469.000000
0,74,1543.000000
1,74,60989.000000
2,74,61028.000000
0,75,1584.000000
1,75,63555.000000
2,75,62915.000000
0,76,1592.000000
1,76,66766.000000
2,76,65131.000000
0,77,1645.000000
1,77,69146.000000
2,77,68293.000000
0,78,1651.000000
1,78,71531.000000
2,78,71303.000000
0,79,1705.000000
1,79,74623.000000
2,79,73076.000000
0,80,1715.000000
1,80,77721.000000
2,80,76788.000000
0,20,431.000000
1,20,1603.000000
2,20,1817.000000
0,21,387.000000
1,21,1791.000000
2,21,1990.000000
0,22,399.000000
1,22,2172.000000
2,22,2480.000000
0,23,509.000000
1,23,2273.000000
2,23,2478.000000
0,24,457.000000
1,24,2582.000000
2,24,2842.000000
0,25,537.000000
1,25,2946.000000
2,25,3933.000000
0,26,487.000000
1,26,3102.000000
2,26,3403.000000
0,27,501.000000
1,27,3451.000000
2,27,3729.000000
0,28,521.000000
1,28,3791.000000
2,28,4162.000000
0,29,556.000000
1,29,4198.000000
2,29,4519.000000
0,30,586.000000
1,30,4566.000000
2,30,4987.000000
