Type,Intervals,ClockTime
1,96,254.000000
2,96,247.000000
0,97,324.000000
1,97,246.000000
2,97,261.000000
0,98,336.000000
1,98,242.000000
2,98,240.000000
0,99,343.000000
1,99,237.000000
2,99,251.000000
0,100,345.000000
1,100,240.000000
2,100,233.000000
0,101,351.000000
1,101,266.000000
2,101,250.000000
0,102,374.000000
1,102,222.000000
2,102,230.000000
0,103,383.000000
1,103,244.000000
2,103,222.000000
0,104,367.000000
1,104,250.000000
2,104,244.000000
0,105,364.000000
1,105,242.000000
2,105,243.000000
0,106,416.000000
1,106,249.000000
2,106,249.000000
0,107,372.000000
1,107,292.000000
2,107,241.000000
0,108,386.000000
1,108,251.000000
2,108,249.000000
0,109,398.000000
1,109,283.000000
2,109,255.000000
0,110,388.000000
1,110,307.000000
2,110,247.000000
0,111,470.000000
1,111,247.000000
2,111,251.000000
0,112,415.000000
1,112,257.000000
2,112,230.000000
0,113,403.000000
1,113,256.000000
2,113,253.000000
0,114,419.000000
1,114,282.000000
2,114,302.000000
0,115,411.000000
1,115,255.000000
2,115,256.000000
0,116,442.000000
1,116,262.000000
2,116,260.000000
0,117,393.000000
1,117,233.000000
2,117,233.000000
0,118,531.000000
1,118,327.000000
2,118,288.000000
0,119,417.000000
1,119,264.000000
2,119,320.000000
0,120,513.000000
1,120,248.000000
2,120,235.000000
0,121,420.000000
1,121,239.000000
2,121,237.000000
0,122,424.000000
1,122,245.000000
2,122,268.000000
0,123,433.000000
1,123,241.000000
2,123,239.000000
0,124,443.000000
1,124,248.000000
2,124,240.000000
0,125,444.000000
1,125,243.000000
2,125,239.000000
0,126,449.000000
1,126,245.000000
2,126,259.000000
0,127,457.000000
1,127,280.000000
2,127,265.000000
0,128,498.000000
1,128,282.000000
2,128,277.000000
0,129,532.000000
1,129,259.000000
2,129,273.000000
0,130,533.000000
1,130,266.000000
2,130,292.000000
0,131,537.000000
1,131,261.000000
2,131,289.000000
0,132,535.000000
1,132,262.000000
2,132,293.000000
0,133,537.000000
1,133,263.000000
2,133,294.000000
0,134,570.000000
1,134,321.000000
2,134,286.000000
0,135,557.000000
1,135,266.000000
2,135,302.000000
0,136,554.000000
1,136,280.000000
2,136,261.000000
0,137,455.000000
1,137,225.000000
2,137,216.000000
0,138,472.000000
1,138,227.000000
2,138,221.000000
0,139,460.000000
1,139,223.000000
2,139,222.000000
0,140,463.000000
1,140,226.000000
2,140,221.000000
0,141,467.000000
1,141,231.000000
2,141,221.000000
0,142,521.000000
1,142,242.000000
2,142,224.000000
0,143,477.000000
1,143,232.000000
2,143,313.000000
0,144,490.000000
1,144,232.000000
2,144,227.000000
0,145,483.000000
1,145,238.000000
2,145,227.000000
0,146,577.000000
1,146,407.000000
2,146,419.000000
0,147,757.000000
1,147,430.000000
2,147,416.000000
0,148,738.000000
1,148,423.000000
2,148,418.000000
0,149,743.000000
1,149,433.000000
2,149,415.000000
0,150,778.000000
1,150,442.000000
2,150,415.000000
0,151,782.000000
1,151,435.000000
2,151,422.000000
0,152,762.000000
1,152,433.000000
2,152,426.000000
0,153,765.000000
1,153,435.000000
2,153,436.000000
0,154,772.000000
1,154,434.000000
2,154,427.000000
0,155,774.000000
1,155,439.000000
2,155,431.000000
0,156,805.000000
1,156,443.000000
2,156,435.000000
0,157,793.000000
1,157,443.000000
2,157,434.000000
0,158,791.000000
1,158,454.000000
2,158,438.000000
0,159,799.000000
1,159,446.000000
2,159,437.000000
0,160,809.000000
1,160,461.000000
2,160,462.000000
0,161,799.000000
1,161,427.000000
2,161,409.000000
0,162,789.000000
1,162,429.000000
2,162,408.000000
0,163,738.000000
1,163,440.000000
2,163,426.000000
0,164,821.000000
1,164,445.000000
2,164,427.000000
0,165,829.000000
1,165,475.000000
2,165,454.000000
0,166,869.000000
1,166,269.000000
2,166,259.000000
0,167,590.000000
1,167,261.000000
2,167,256.000000
0,168,590.000000
1,168,265.000000
2,168,278.000000
0,169,598.000000
1,169,266.000000
2,169,258.000000
0,170,596.000000
1,170,266.000000
2,170,262.000000
0,171,603.000000
1,171,269.000000
2,171,260.000000
0,172,619.000000
1,172,272.000000
2,172,262.000000
0,173,615.000000
1,173,271.000000
2,173,262.000000
0,174,620.000000
1,174,269.000000
2,174,297.000000
0,175,625.000000
1,175,288.000000
2,175,267.000000
0,176,630.000000
1,176,278.000000
2,176,272.000000
0,177,629.000000
1,177,271.000000
2,177,265.000000
0,178,628.000000
1,178,272.000000
2,178,264.000000
0,179,651.000000
1,179,276.000000
2,179,271.000000
0,180,712.000000
1,180,285.000000
2,180,271.000000
0,181,656.000000
1,181,282.000000
2,181,273.000000
0,182,697.000000
1,182,294.000000
2,182,276.000000
0,183,664.000000
1,183,284.000000
2,183,278.000000
0,184,671.000000
1,184,286.000000
2,184,279.000000
0,185,670.000000
1,185,296.000000
2,185,280.000000
0,186,677.000000
1,186,287.000000
2,186,282.000000
0,187,683.000000
1,187,288.000000
2,187,283.000000
0,188,689.000000
1,188,339.000000
2,188,287.000000
0,189,697.000000
1,189,293.000000
2,189,300.000000
0,190,698.000000
1,190,296.000000
2,190,287.000000
0,191,705.000000
1,191,312.000000
2,191,292.000000
0,192,730.000000
1,192,386.000000
2,192,297.000000
0,193,722.000000
1,193,307.000000
2,193,293.000000
0,194,724.000000
1,194,311.000000
2,194,313.000000
0,195,726.000000
1,195,300.000000
2,195,296.000000
0,196,734.000000
1,196,303.000000
2,196,297.000000
0,197,740.000000
1,197,326.000000
2,197,299.000000
0,198,748.000000
1,198,307.000000
2,198,296.000000
0,199,752.000000
1,199,307.000000
2,199,299.000000
0,200,782.000000
1,200,332.000000
2,200,303.000000
0,201,761.000000
1,201,312.000000
2,201,318.000000
0,202,765.000000
1,202,312.000000
2,202,303.000000
0,203,784.000000
1,203,311.000000
2,203,305.000000
0,204,777.000000
1,204,315.000000
2,204,305.000000
0,205,780.000000
1,205,323.000000
2,205,309.000000
0,206,807.000000
1,206,345.000000
2,206,310.000000
0,207,790.000000
1,207,320.000000
2,207,313.000000
0,208,796.000000
1,208,319.000000
2,208,309.000000
0,209,813.000000
1,209,320.000000
2,209,310.000000
0,210,811.000000
1,210,320.000000
2,210,315.000000
0,211,813.000000
1,211,324.000000
2,211,312.000000
0,212,813.000000
1,212,329.000000
2,212,317.000000
0,213,885.000000
1,213,340.000000
2,213,322.000000
0,214,888.000000
1,214,337.000000
2,214,322.000000
0,215,857.000000
1,215,349.000000
2,215,320.000000
0,216,863.000000
1,216,338.000000
2,216,326.000000
0,217,884.000000
1,217,345.000000
2,217,370.000000
0,218,871.000000
1,218,340.000000
2,218,374.000000
0,219,912.000000
1,219,351.000000
2,219,411.000000
0,220,893.000000
1,220,348.000000
2,220,343.000000
0,221,903.000000
1,221,352.000000
2,221,370.000000
0,222,903.000000
1,222,375.000000
2,222,353.000000
0,223,904.000000
1,223,364.000000
2,223,340.000000
0,224,971.000000
1,224,368.000000
2,224,335.000000
0,225,921.000000
1,225,359.000000
2,225,340.000000
0,226,943.000000
1,226,349.000000
2,226,368.000000
0,227,955.000000
1,227,352.000000
2,227,357.000000
0,228,937.000000
1,228,366.000000
2,228,341.000000
0,229,976.000000
1,229,364.000000
2,229,348.000000
0,230,960.000000
1,230,359.000000
2,230,415.000000
0,231,991.000000
1,231,370.000000
2,231,344.000000
0,232,959.000000
1,232,367.000000
2,232,351.000000
0,233,957.000000
1,233,365.000000
2,233,369.000000
0,234,968.000000
1,234,362.000000
2,234,352.000000
0,235,981.000000
1,235,357.000000
2,235,491.000000
0,236,1229.000000
1,236,372.000000
2,236,354.000000
0,237,1042.000000
1,237,437.000000
2,237,408.000000
0,238,1032.000000
1,238,380.000000
2,238,362.000000
0,239,1007.000000
1,239,371.000000
2,239,360.000000
0,240,1023.000000
1,240,377.000000
2,240,367.000000
0,241,1027.000000
1,241,378.000000
2,241,371.000000
0,242,1019.000000
1,242,387.000000
2,242,373.000000
0,243,1026.000000
1,243,369.000000
2,243,415.000000
0,244,1005.000000
1,244,366.000000
2,244,388.000000
0,245,1048.000000
1,245,396.000000
2,245,369.000000
0,246,1045.000000
1,246,389.000000
2,246,376.000000
0,247,1067.000000
1,247,388.000000
2,247,380.000000
0,248,1058.000000
1,248,386.000000
2,248,379.000000
0,249,1083.000000
1,249,394.000000
2,249,380.000000
0,250,1094.000000
1,250,392.000000
2,250,382.000000
0,251,1090.000000
1,251,396.000000
2,251,385.000000
0,252,1083.000000
1,252,392.000000
2,252,396.000000
0,253,1092.000000
1,253,408.000000
2,253,379.000000
0,254,1157.000000
1,254,475.000000
2,254,410.000000
0,255,1131.000000
1,255,431.000000
2,255,379.000000
0,256,1122.000000
1,256,398.000000
2,256,385.000000
0,257,1122.000000
1,257,409.000000
2,257,387.000000
0,258,1121.000000
1,258,401.000000
2,258,392.000000
0,259,1122.000000
1,259,422.000000
2,259,397.000000
0,260,1133.000000
1,260,467.000000
2,260,396.000000
0,261,1156.000000
1,261,411.000000
2,261,390.000000
0,262,1152.000000
1,262,411.000000
2,262,399.000000
0,263,1150.000000
1,263,411.000000
2,263,416.000000
